,Rating,Title,Review,Review_Date
0,5.0,Good,Good, 7 June 2023
1,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
2,5.0,Amazing product,Worth every penny!!!, 6 June 2023
3,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
4,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
5,5.0,Value for money,Loved it, 5 June 2023
6,4.0,Good,It was ok, 5 June 2023
7,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
8,4.0,Value for money,Good quality, 4 June 2023
9,1.0,Low quality,Very low quality, 3 June 2023
10,5.0,Good,Good, 7 June 2023
11,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
12,5.0,Amazing product,Worth every penny!!!, 6 June 2023
13,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
14,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
15,5.0,Value for money,Loved it, 5 June 2023
16,4.0,Good,It was ok, 5 June 2023
17,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
18,4.0,Value for money,Good quality, 4 June 2023
19,1.0,Low quality,Very low quality, 3 June 2023
20,5.0,Good,Good,7 June 2023
21,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
22,5.0,Amazing product,Worth every penny!!!,6 June 2023
23,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
24,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
25,5.0,Value for money,Loved it,5 June 2023
26,4.0,Good,It was ok,5 June 2023
27,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
28,4.0,Value for money,Good quality,4 June 2023
29,1.0,Low quality,Very low quality,3 June 2023
30,5.0,Good,Good,7 June 2023
31,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
32,5.0,Amazing product,Worth every penny!!!,6 June 2023
33,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
34,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
35,5.0,Value for money,Loved it,5 June 2023
36,4.0,Good,It was ok,5 June 2023
37,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
38,4.0,Value for money,Good quality,4 June 2023
39,1.0,Low quality,Very low quality,3 June 2023
40,5.0,Good,Good,7 June 2023
41,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
42,5.0,Amazing product,Worth every penny!!!,6 June 2023
43,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
44,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
45,5.0,Value for money,Loved it,5 June 2023
46,4.0,Good,It was ok,5 June 2023
47,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
48,4.0,Value for money,Good quality,4 June 2023
49,1.0,Low quality,Very low quality,3 June 2023
50,5.0,Good,Good, 7 June 2023
51,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
52,5.0,Amazing product,Worth every penny!!!, 6 June 2023
53,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
54,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
55,5.0,Value for money,Loved it, 5 June 2023
56,4.0,Good,It was ok, 5 June 2023
57,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
58,4.0,Value for money,Good quality, 4 June 2023
59,1.0,Low quality,Very low quality, 3 June 2023
60,5.0,Good,Good,7 June 2023
61,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
62,5.0,Amazing product,Worth every penny!!!,6 June 2023
63,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
64,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
65,5.0,Value for money,Loved it,5 June 2023
66,4.0,Good,It was ok,5 June 2023
67,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
68,4.0,Value for money,Good quality,4 June 2023
69,1.0,Low quality,Very low quality,3 June 2023
70,5.0,Good,Good, 7 June 2023
71,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
72,5.0,Amazing product,Worth every penny!!!, 6 June 2023
73,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
74,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
75,5.0,Value for money,Loved it, 5 June 2023
76,4.0,Good,It was ok, 5 June 2023
77,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
78,4.0,Value for money,Good quality, 4 June 2023
79,1.0,Low quality,Very low quality, 3 June 2023
80,5.0,Good,Good, 7 June 2023
81,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
82,5.0,Amazing product,Worth every penny!!!, 6 June 2023
83,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
84,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
85,5.0,Value for money,Loved it, 5 June 2023
86,4.0,Good,It was ok, 5 June 2023
87,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
88,4.0,Value for money,Good quality, 4 June 2023
89,1.0,Low quality,Very low quality, 3 June 2023
90,5.0,Good,Good,7 June 2023
91,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
92,5.0,Amazing product,Worth every penny!!!,6 June 2023
93,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
94,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
95,5.0,Value for money,Loved it,5 June 2023
96,4.0,Good,It was ok,5 June 2023
97,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
98,4.0,Value for money,Good quality,4 June 2023
99,1.0,Low quality,Very low quality,3 June 2023
100,5.0,Good,Good,7 June 2023
101,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
102,5.0,Amazing product,Worth every penny!!!,6 June 2023
103,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
104,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
105,5.0,Value for money,Loved it,5 June 2023
106,4.0,Good,It was ok,5 June 2023
107,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
108,4.0,Value for money,Good quality,4 June 2023
109,1.0,Low quality,Very low quality,3 June 2023
110,5.0,Good,Good,7 June 2023
111,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also .,7 June 2023
112,5.0,Amazing product,Worth every penny!!!,6 June 2023
113,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it",6 June 2023
114,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality",6 June 2023
115,5.0,Value for money,Loved it,5 June 2023
116,4.0,Good,It was ok,5 June 2023
117,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal,4 June 2023
118,4.0,Value for money,Good quality,4 June 2023
119,1.0,Low quality,Very low quality,3 June 2023
120,5.0,Good,Good, 7 June 2023
121,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
122,5.0,Amazing product,Worth every penny!!!, 6 June 2023
123,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
124,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
125,5.0,Value for money,Loved it, 5 June 2023
126,4.0,Good,It was ok, 5 June 2023
127,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
128,4.0,Value for money,Good quality, 4 June 2023
129,1.0,Low quality,Very low quality, 3 June 2023
130,5.0,Good,Good, 7 June 2023
131,5.0,Very spacious,This is a multipurpose bag with three big segments and one front pocket .Perfect for office use /school and for small tours also ., 7 June 2023
132,5.0,Amazing product,Worth every penny!!!, 6 June 2023
133,4.0,It’s nice,"Worth it, Go for it. Even my friend also purchased the same it’s very good quality so go for it", 6 June 2023
134,1.0,Very bad quality,"The media could not be loaded.
                



 Very bad quality", 6 June 2023
135,5.0,Value for money,Loved it, 5 June 2023
136,4.0,Good,It was ok, 5 June 2023
137,1.0,Poor quality,Bag materaial got torned in a monthI dont think so product is orignal, 4 June 2023
138,4.0,Value for money,Good quality, 4 June 2023
139,1.0,Low quality,Very low quality, 3 June 2023
140,5.0,Good,Good,7 June 2023
